,Sector,Amount($)
0,"0    Fintech
Name: Sector, dtype: object",195389099.82147866
1,3D Printing,125833765.19765574
2,AI,514647749.55369663
3,AI & Data science,8000000.0
4,AI & Debt,85860249.91073933
5,AI & Deep learning,85860249.91073933
6,AI & Media,3000000.0
7,AI Chatbot,7500000.0
8,AI Company,6000000.0
9,AI Platform,8000000.0
10,AI Robotics,281300.0
11,AI Startup,85860249.91073933
12,AI company,5000000.0
13,AI health,350000.0
14,AI platform,3000000.0
15,AI startup,372936000.0
16,API platform,4050000.0
17,AR platform,7000000.0
18,AR startup,1100000.0
19,AR/VR,85860249.91073933
20,AR/VR startup,1000000.0
21,Accomodation,102060249.91073933
22,Accounting,377501295.5929672
23,Ad-tech,3000000.0
24,Advertisement,1800000.0
25,Advertising,503335060.79062295
26,Advisory firm,0.0
27,Aeorspace,1800000.0
28,Aero company,85860249.91073933
29,Aerospace,251667530.39531147
30,AgTech,125833765.19765574
31,Agri tech,500000.0
32,AgriTech,738010749.732218
33,Agriculture,1026670121.5812459
34,Agritech,400070749.732218
35,Agritech startup,5060000.0
36,Agritech/Commerce,1000000.0
37,Ai,31000000.0
38,Ai & tech,20000000.0
39,Air Transportation,125833765.19765574
40,Alternative Medicine,125833765.19765574
41,Analytics,507335060.79062295
42,Android,125833765.19765574
43,Apparel & Fashion,39200000.0
44,Appliance,2879000.0
45,Apps,2516675303.9531145
46,Artificial Intelligence,1887506477.9648361
47,Arts & Crafts,0.0
48,Audio,125833765.19765574
49,Augmented reality,0.0
50,Auto-tech,85860249.91073933
51,Automation,102810000.0
52,Automation tech,500000.0
53,Automobile,684509999.6429573
54,Automobile & technology,5000000.0
55,Automobile Technology,14700000.0
56,Automobiles,124860249.91073933
57,Automotive,4461568023.468542
58,Automotive Startup,360000.0
59,Automotive and Rentals,209000000.0
60,Automotive company,85860249.91073933
61,Automotive tech,54530000.0
62,Autonomous Vehicles,251667530.39531147
63,Aviation,3000000.0
64,Aviation & Aerospace,500000.0
65,Ayurveda tech,2000000.0
66,B2B,1380641901.8872967
67,B2B Agritech,12000000.0
68,B2B E-commerce,51000000.0
69,B2B Ecommerce,185000000.0
70,B2B Manufacturing,2600000.0
71,B2B Marketplace,1400000.0
72,B2B Travel,2200000.0
73,B2B marketplace,99660249.91073933
74,B2B service,400000.0
75,B2B startup,30000000.0
76,B2b,4000000.0
77,B2b supply chain,43330301.3
78,Banking,1053836356.3835902
79,Basketball,125833765.19765574
80,Battery,125833765.19765574
81,Battery design,2000000.0
82,Battery manufacturer,2000000.0
83,Beauty,507662060.79062295
84,Beauty & wellness,150000.0
85,Beauty products,65000000.0
86,Beverage,21690000.0
87,Beverages,109610249.91073933
88,Big Data,629168825.9882786
89,Bike Rental,125000.0
90,Bike marketplace,2000000.0
91,BioTechnology,280600000.0
92,Biomaterial startup,1400000.0
93,Biopharma,133333765.19765574
94,Biotech,264000.0
95,Biotechnology,925136356.3835902
96,Biotechnology company,1200000.0
97,Blockchain,139033765.19765574
98,Blockchain startup,4050000.0
99,Blogging,4100000.0
100,Brand Marketing,251667530.39531147
101,Broadcasting,125833765.19765574
102,Business Development,125833765.19765574
103,Business Intelligence,125833765.19765574
104,Business Supplies & Equipment,300000.0
105,Business Travel,125833765.19765574
106,CRM,320000.0
107,Cannabis startup,200000.0
108,Capital Markets,13200000.0
109,Car Service,86880249.91073933
110,Car Trade,42500000.0
111,Career Planning,251667530.39531147
112,Catering,125833765.19765574
113,Celebrity Engagement,1000000.0
114,Child Care,251667530.39531147
115,Children,251667530.39531147
116,Classifieds,125833765.19765574
117,Clean Energy,125833765.19765574
118,CleanTech,144333765.19765574
119,Cleantech,22000000.0
120,Clothing,50000000.0
121,Cloud Computing,503335060.79062295
122,Cloud Infrastructure,125833765.19765574
123,Cloud Kitchen,1000000.0
124,Cloud company,5000000.0
125,Cloud kitchen,175000000.0
126,Co-living,56000000.0
127,Co-working,91560249.91073933
128,Co-working Startup,1000000.0
129,Collaboration,251667530.39531147
130,Commerce,1000000.0
131,Commercial,125833765.19765574
132,Commercial Real Estate,131833765.19765574
133,Communities,251667530.39531147
134,Community,810000.0
135,Community platform,26000000.0
136,Company-as-a-Service,3000000.0
137,Computer,377501295.5929672
138,Computer & Network Security,7000000.0
139,Computer Games,2320000.0
140,Computer Software,151300000.0
141,Computer software,237700000.0
142,Construction,233215000.0
143,Construction tech,1100000.0
144,Consultancy,15000000.0
145,Consulting,396651295.5929672
146,Consumer,377501295.5929672
147,Consumer Applications,125833765.19765574
148,Consumer Electronics,425701295.5929672
149,Consumer Goods,772755310.7013623
150,Consumer Lending,503335060.79062295
151,Consumer Services,51900000.0
152,Consumer appliances,9000000.0
153,Consumer goods,0.0
154,Consumer service,0.0
155,Consumer software,1300000.0
156,Content Marktplace,306900.0
157,Content commerce,0.0
158,Content creation,0.0
159,Content management,3500000.0
160,Content marketplace,4200000.0
161,Content publishing,1000000.0
162,Continuing Education,125833765.19765574
163,Conversational AI platform,1500000.0
164,Cooking,125833765.19765574
165,Cosmetics,473429514.9298737
166,Coworking,5940000.0
167,Craft Beer,764000.0
168,Creative Agency,125833765.19765574
169,Credit,629168825.9882786
170,Credit Cards,251667530.39531147
171,Crowdfunding,377501295.5929672
172,Crowdsourcing,126833765.19765574
